Complexity,Loss,Equation
1,5.4378026e-5,"0.31531447"
3,2.3847644e-5,"21.240047 / H0"
4,1.4941297e-6,"log(92.29309 / H0)"
5,9.0540647e-7,"(61.56362 / H0) + -0.5987265"
7,9.05406e-7,"exp(log((61.56362 / H0) + -0.5987265))"
11,6.7780167e-7,"sqrt(((H0 / -88.87493) + exp(sigma8 * 0.2515483)) ^ logA)"
13,6.555067e-7,"sqrt((exp(sigma8 * 0.25147536) + (H0 / (tau - 88.93757))) ^ logA)"
15,6.555063e-7,"sqrt((exp(sigma8 * 0.25147536) + (H0 / (tau + (-88.006165 - 0.93140316)))) ^ logA)"
19,6.227981e-7,"(logA * 0.0052188337) + sqrt(((H0 / -87.337425) + exp((sigma8 ^ tau) * (sigma8 * 0.2520714))) ^ logA)"
21,6.1965704e-7,"sqrt(((H0 / -87.337425) + exp(((sigma8 ^ tau) * 0.2519812) * sigma8)) ^ logA) + ((logA + tau) * 0.0051559363)"
