Complexity,Loss,Equation
1,0.2903162,"67.35747"
3,0.28249195,"67.672844 - omegam"
4,0.26587787,"66.203094 - log(omegam)"
5,0.004833503,"(7.202301 / omegam) + 44.503437"
6,0.0048101423,"(log(omegam) * -22.854183) + 40.97336"
7,0.004742669,"((7.225154 / omegam) + sigma8) + 43.619717"
8,0.00471414,"40.876648 - ((sigma8 - -22.126799) * log(omegam))"
10,0.0046905386,"40.782253 - ((log(omegam) * (sigma8 - -22.25566)) + tau)"
11,0.0046531837,"((7.924633 / omegam) + 35.371777) - ((sigma8 - tau) * -9.032885)"
12,0.0046089427,"((39.88647 - ((sigma8 - -22.32894) * log(omegam))) - tau) + sigma8"
13,0.0044699353,"((7.6174326 / omegam) + 30.522419) + (7.709133 - ((sigma8 - tau) * -6.5466204))"
15,0.00435222,"(((7.6071014 / omegam) + 7.5739646) - ((sigma8 - (tau * 0.7895289)) * -6.8409653)) + 30.387856"
19,0.004318668,"((((5.014275 - (sigma8 - tau)) * -6.7473807) - omegam) + (((7.512837 / omegam) + 71.69449) + sigma8)) + tau"
21,0.004318281,"((((5.052045 - (sigma8 - tau)) * -6.765735) - omegam) + ((7.514766 / omegam) + 71.687904)) + ((sigma8 + tau) - -0.3341471)"
