Complexity,Loss,Equation
1,5.4213255e-5,"0.05437069"
3,3.0482328e-5,"sigma8 - 0.7568242"
4,1.2610036e-5,"log(logA * 0.34682298)"
5,8.159147e-6,"(logA * 0.47839016) + -1.4021678"
7,7.7232235e-6,"((logA * 0.4009882) + -1.1765511) / sigma8"
8,7.5476587e-6,"(sqrt(logA - 0.530811) + -1.5576088) ^ sigma8"
9,7.368032e-6,"(((logA + -2.9412048) * 0.34754992) / sigma8) / sigma8"
11,7.36537e-6,"((((logA * 0.4828167) + -1.4192214) / sigma8) * 0.70761627) / sigma8"
12,7.1240056e-6,"(((sqrt(logA - 0.64457494) + -1.5234821) ^ sigma8) / sigma8) * 0.8635253"
13,7.0757387e-6,"((((logA * 0.23968384) + -0.70612633) / (sigma8 * sigma8)) / sigma8) / sigma8"
